Index,coconut_id,SMILES,Classe
0,CNP0143582,O=C(O)C1=C(SCCNC(=O)C)CC2N1C(=O)C2C(O)C,1
1,CNP0222302,O=C(O)C1=C(SC=CN=C(O)C)CC2N1C(=O)C2C(O)C,1
2,CNP0150621,O=C(N(C)C1C(O)C(OC(=N)O)C(OC1NC2=NC3C(O)CN=C(O)C3N2)CO)CNC,1
3,CNP0179118,OC(=NC1C(O)C(O)C(OC1CO)OC(C(O)CN)C(N)C(O)CO)CC,1
4,CNP0238626,N#CC1=CN(C=2N=CN=C(N)C12)C3OC(CO)C(O)C3O,1
5,CNP0253706,O=C(OC)C1(O)CC2OC1(N3C=4C=CC=CC4C=5C3=C6C(C7=CC=CC=C7N62)=C8C(=O)NCC85)C,1
6,CNP0145904,OC(=NC1C(O)C(O)C(OC1CO)OC(C(O)CN)C(N)C(O)CO)C,1
7,CNP0173938,O=C(O)C1=C(SCCN=C(O)CCN=C(O)C(O)C(C)(C)CO)CC2N1C(=O)C2C(O)C,1
8,CNP0298913,O=C(O)C(C)CC(C(=O)C(=CC(C)C1OC2(OC(C)(CC2)C3OC4(OC(CC4C)C5OC(O)(CO)C(C)CC5C)C(C)CC3)CC(O)C1C)C)C,1
9,CNP0372979,O=C1C=2C=CC=C(O)C2C(=O)C=3C(O)=C4C(=CC13)C(C(=O)OC)C(O)(CC)CC4OC5OC(C)C(OC6OC(C)C(OC7OC(C(=O)CC7)C)C(O)C6)C(N(C)C)C5,1
10,CNP0340964,O=CN(O)CC=CP(=O)(O)O,1
11,CNP0340925,O=C(O)CC1NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C2OC2CCC)CO)C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC1=O)C(O)C(=O)N)C(C)CC(=O)O)CC3=CNC=4C=CC=CC43)C)CC5=CNC=6C=CC=CC65)CC(=O)O)CC(=O)O)C7=CC=C(O)C=C7,1
12,CNP0336316,O=CC(NC(=O)N)C(O)C(O)C(O)CO,1
13,CNP0255746,O=C(N(O)CCCP(=O)(O)O)C,1
14,CNP0174260,O=C(O)C1=C(O)C(=CC(Cl)=C1C(C)CC(C)C(O)C(C(=O)C(C)C2OC3(OC4(OC(C)(C5OC(C(=O)OCC)C(O)C5)C(OC)C4C)C(O)C=C3)C(C)CC2C)C)C,1
15,CNP0217277,OCC1OC(OC2C(O)C(N)CC(N)C2O)C3OC4(OC3C1O)OC(C(O)C(O)C4O)C(N)CO,1
16,CNP0305553,O=C(O)C1N2C(=O)C(C(O)C)C2CC1SCCNC(=O)CCNC(=O)C(O)C(C)(C)CO,1
17,CNP0338930,O=C(O)C1=C(S(=O)C=CNC(=O)C)CC2N1C(=O)C2C(O)(C)C,1
18,CNP0337973,O=C1C=C(OC=2C=3C(=O)C=4C(O)=CC=CC4C(=O)C3C=C(C12)C)C5(OC5)C6OC6,1
