"ChEMBL ID"	"Name"	"Synonyms"	"Type"	"Max Phase"	"Molecular Weight"	"Targets"	"Bioactivities"	"AlogP"	"Polar Surface Area"	"HBA"	"HBD"	"#RO5 Violations"	"#Rotatable Bonds"	"Passes Ro3"	"QED Weighted"	"CX Acidic pKa"	"CX Basic pKa"	"CX LogP"	"CX LogD"	"Aromatic Rings"	"Structure Type"	"Inorganic Flag"	"Heavy Atoms"	"HBA (Lipinski)"	"HBD (Lipinski)"	"#RO5 Violations (Lipinski)"	"Molecular Weight (Monoisotopic)"	"Molecular Species"	"Molecular Formula"	"Smiles"
"CHEMBL3989817"	"DIPROLEANDOMYCIN"	"DIPROLEANDOMYCIN"	"Small molecule"	"0"	"800.00"	""	""	"3.83"	"178.12"	"15"	"1"	"2"	"10"	"N"	"0.19"	"12.83"	"8.38"	"5.26"	"4.24"	"0"	"MOL"	"0"	"56"	"15"	"1"	"2"	"799.4718"	"NEUTRAL"	"C41H69NO14"	"CCC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(=O)CC)[C@@H](C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@H]2C)C[C@@H]1OC"
"CHEMBL2106418"	"DOXYCYCLINE FOSFATEX"	"AB08|DMSC|DOXYCYCLINE FOSFATEX"	"Small molecule"	"2"	"786.34"	""	""	"-0.35"	"181.62"	"9"	"6"	"1"	"2"	"N"	"0.33"	"2.92"	"7.46"	"-3.29"	"-3.57"	"1"	"MOL"	"0"	"32"	"10"	"7"	"1"	"444.1533"	"ACID"	"C22H27N2NaO20P4"	"C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O=P(=O)O.O=P(=O)O.O=P(=O)O.O=P(=O)[O-].[Na+]"
"CHEMBL4297677"	"TEBIPENEM PIVOXIL HYDROBROMIDE"	"SPR-994|SPR994|TBPM-PI-HBr|TEBIPENEM PIVOXIL HYDROBROMIDE"	"Small molecule"	"1"	"578.55"	""	""	"1.67"	"108.74"	"10"	"1"	"0"	"6"	"N"	"0.33"	"None"	"6.27"	"1.59"	"1.56"	"0"	"MOL"	"0"	"33"	"9"	"1"	"0"	"497.1654"	"NEUTRAL"	"C22H32BrN3O6S2"	"Br.C[C@@H](O)[C@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12"
"CHEMBL415689"	""	""	"Small molecule"	"0"	"971.00"	"2"	"2"	"-8.91"	"437.70"	"21"	"17"	"3"	"11"	"N"	"0.10"	"9.67"	"20.06"	"-8.35"	"-10.71"	"2"	"MOL"	"-1"	"69"	"27"	"19"	"3"	"970.4145"	"BASE"	"C42H58N12O15"	"C[C@@H](c1ccccc1)[C@@H]1NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](O)[C@@H]2CN=C(N)N2[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)NC(=O)[C@H]([C@H](O)[C@@H]2CN=C(N)N2)NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O"
"CHEMBL3989416"	"GANEFROMYCIN"	"GANEFROMYCIN"	"Unknown"	"0"	"2452.92"	""	""	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"0"	"None"	"None"	"None"	"None"	"2451.2793"	"None"	"C130H190N2O42"	"C/C=C\C=C\[C@@H]1O[C@](O)(C(CO[C@@H]2C[C@@H](OC)[C@@H](O[C@H]3C[C@H](OC)[C@H](O[C@@H]4C[C@@H](OC)[C@@H](O)[C@@H](C)O4)[C@@H](C)O3)[C@@H](C)O2)C(=O)NC/C=C/C=C(\C)C(OC)C(C)[C@H]2C[C@@H](O)[C@@H](/C=C/C=C/C=C/C(=O)O)O2)[C@H](O)[C@H](OC(=O)Cc2ccccc2)C1(C)C.C/C=C\C=C\[C@@H]1O[C@](O)(C(CO[C@@H]2C[C@@H](OC)[C@@H](O[C@H]3C[C@H](OC)[C@H](O[C@@H]4C[C@@H](OC)[C@@H](O)[C@@H](C)O4)[C@@H](C)O3)[C@@H](C)O2)C(=O)NC/C=C/C=C(\C)C(OC)C(C)[C@H]2C[C@@H](O)[C@@H](/C=C/C=C/C=C/C(=O)O)O2)[C@H](OC(=O)Cc2ccccc2)[C@H](O)C1(C)C"
"CHEMBL3990013"	"NIVOBOTULINUMTOXIN A"	"MT10109|NIVOBOTULINUMTOXIN A"	"Unknown"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3989789"	"ROSARAMICIN BUTYRATE"	"ROSAMICIN BUTYRATE|ROSARAMICIN BUTYRATE|SCH 18667"	"Small molecule"	"0"	"651.84"	""	""	"4.02"	"141.20"	"11"	"1"	"2"	"9"	"N"	"0.22"	"None"	"7.17"	"4.26"	"4.06"	"0"	"MOL"	"0"	"46"	"11"	"1"	"2"	"651.3982"	"NEUTRAL"	"C35H57NO10"	"CCCC(=O)O[C@H]1[C@H](O[C@H]2[C@@H](C)[C@H](O)CC(=O)O[C@H](CC)[C@@H](C)[C@@H]3O[C@@]3(C)/C=C/C(=O)[C@H](C)C[C@@H]2CC=O)O[C@H](C)C[C@@H]1N(C)C"
"CHEMBL2103968"	"IDREMCINAL"	"EM574|IDREMCINAL"	"Small molecule"	"0"	"743.98"	""	""	"3.67"	"165.84"	"13"	"4"	"2"	"8"	"N"	"0.27"	"12.46"	"9.63"	"3.40"	"1.18"	"0"	"MOL"	"0"	"52"	"13"	"4"	"2"	"743.4820"	"BASE"	"C39H69NO12"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C(C)C)[C@H]2O)[C@@]2(C)CC(C)=C(O2)[C@H](C)[C@@H](O)[C@]1(C)O"
"CHEMBL2108254"	"ARDACIN"	"AAD 216|ARDACIN|SK&F 100814"	"Unknown"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3989421"	"ANTHELMYCIN"	"33876|ANTELMYCIN|ANTHELMYCIN"	"Small molecule"	"0"	"583.55"	""	""	"-8.64"	"342.94"	"19"	"13"	"3"	"10"	"N"	"0.12"	"12.28"	"15.22"	"-8.56"	"-11.09"	"1"	"MOL"	"0"	"40"	"19"	"16"	"3"	"583.2337"	"BASE"	"C21H37N5O14"	"Nc1ccn([C@@H]2O[C@H]([C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)[C@@H](N)[C@H](O)[C@H]2O)c(=O)n1"
"CHEMBL3989443"	"CARUBICIN HYDROCHLORIDE"	"CARMINOMYCIN HYDROCHLORIDE|CARUBICIN HYDROCHLORIDE"	"Small molecule"	"0"	"549.96"	""	""	"0.73"	"196.84"	"11"	"6"	"3"	"3"	"N"	"0.27"	"7.78"	"9.95"	"1.76"	"1.53"	"2"	"MOL"	"0"	"37"	"11"	"7"	"3"	"513.1635"	"BASE"	"C26H28ClNO10"	"CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O.Cl"
"CHEMBL2110884"	"CETOCYCLINE"	"CETOCYCLINE"	"Small molecule"	"0"	"411.41"	""	""	"1.27"	"158.15"	"8"	"5"	"0"	"1"	"N"	"0.35"	"2.45"	"7.86"	"-0.06"	"-0.19"	"2"	"MOL"	"0"	"30"	"8"	"6"	"1"	"411.1318"	"ACID"	"C22H21NO7"	"CC(=O)C1=C(O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O"
"CHEMBL1652611"	"PIRLIMYCIN"	"PIRLIMYCIN|Pirlimycin"	"Small molecule"	"0"	"410.96"	"37"	"105"	"0.05"	"111.05"	"7"	"5"	"0"	"6"	"N"	"0.39"	"12.41"	"8.88"	"0.58"	"-0.91"	"0"	"MOL"	"0"	"26"	"7"	"5"	"0"	"410.1642"	"BASE"	"C17H31ClN2O5S"	"CC[C@@H]1CCN[C@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)C1"
"CHEMBL2108203"	"HACHIMYCIN"	"HACHIMYCIN|TRICHOMYCIN"	"Unknown"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2106400"	"LAIDLOMYCIN PROPIONATE POTASSIUM"	"LAIDLOMYCIN PROPIONATE POTASSIUM|RS-11988"	"Small molecule"	"0"	"793.05"	""	""	"5.15"	"176.51"	"12"	"3"	"3"	"12"	"N"	"0.22"	"4.17"	"None"	"5.93"	"2.88"	"0"	"MOL"	"0"	"53"	"13"	"3"	"3"	"754.4503"	"ACID"	"C40H65KO13"	"CCC(=O)OC[C@]1(O)O[C@H]([C@H]2C[C@H](C)[C@H]([C@]3(C)CC[C@H]([C@]4(C)CC[C@]5(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC(=O)CC)[C@H](C)C(=O)[O-])O5)O4)O3)O2)[C@@H](C)C[C@H]1C.[K+]"
"CHEMBL299665"	""	""	"Small molecule"	"0"	"816.09"	"3"	"3"	"1.49"	"192.11"	"15"	"6"	"3"	"8"	"N"	"0.15"	"11.25"	"9.75"	"2.25"	"-2.04"	"0"	"MOL"	"-1"	"57"	"15"	"6"	"3"	"815.5507"	"BASE"	"C42H77N3O12"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@](O)(C#CCN(C)C)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN[C@H](C)[C@@H](O)[C@]1(C)O"
"CHEMBL2106517"	"DEMECYCLINE"	"A IX|CL 22415|DEMECYCLINE"	"Small molecule"	"0"	"430.41"	""	""	"-0.39"	"181.62"	"9"	"6"	"1"	"2"	"N"	"0.34"	"2.87"	"8.18"	"-3.76"	"-3.98"	"1"	"MOL"	"0"	"31"	"10"	"7"	"1"	"430.1376"	"ACID"	"C21H22N2O8"	"CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@H](O)[C@H]3C[C@@H]12"
"CHEMBL59080"	""	""	"Small molecule"	"0"	"746.98"	"3"	"3"	"1.97"	"181.17"	"14"	"5"	"2"	"7"	"N"	"0.19"	"12.54"	"9.77"	"2.46"	"-1.45"	"0"	"MOL"	"-1"	"52"	"14"	"5"	"2"	"746.4929"	"BASE"	"C38H70N2O12"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@]3(CO3)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN[C@H](C)[C@@H](O)[C@]1(C)O"
